並開一歌上 bax 爸
幫合一魂入 puot 不
明開三麻平 mja 咩
明開三麻上 mjax 乜

端開二庚上 t'rangx 打
並一咍上 baix 倍
羣開三B脂平 gii 祁
日開三麻去 njah 偌
精合一歌上 cuax 硰
透開一豪去 thauh 謟
清開二麻去 chrah 岔
清合一寒平 chuan 竄
端三幽平 ty 丟
見開三B仙入 kiet 孑
曉合三B眞入 hyt 䬂
曉合三B仙入 hyet 𣧡
影開三B仙去 qienh 堰
影合四青去 quengh 瑩
云合一灰上 i'uaix 倄
莊開三侵上 crimx 怎
曉開四齊上 hex 匸
溪開三B侵去 khimh 撳
端開三麻上 tiax 嗲
幫二皆平 prai 掰
幫三A脂平 pjii 屄
幫三A宵去 pjeuh 嫑
滂一咍平 phai 𡜊
滂一咍上 phaix 啡
滂二山上 phrenx 闆
滂二耕去 phrengh 碰
並一咍平 bai 㯁 
並二山平 bren 爿
明一咍上 maix 䆀
明一咍去 maih 脄
端合一魂上 tuonx 躉
透合一魂去 thuonh 褪
定合二山平 d'ruen 窀
來開二麻平 lra 旯
來開三麻上 liax 倆
知合二佳去 trueh 膪
知合二皆上 truaix 𩬳
徹開二皆去 thraih 𥱻
徹開二耕入 threk 𥛚
徹合二皆去 thruaih 顡
徹合三凡上 thryamx 𠑆
徹合三凡入 thryap 𦑣
孃合三凡入 nryap 䎎
孃二江上 nrungx 擃
孃三尤平 nriu 妞
精開一寒平 can 臢
精合三歌上 cyax 𡎬
從開二山平 z'ren 𡎻
莊開三臻上 crinx 𧤛
初開三眞上 chrinx 齓
初開三仙入 chriet 㔍
崇開一侯上 zr'ux 鯫
崇開二山入 zret 鍘
生合三支上 sryex 甩
常開一覃入 zj'op 遪
見開一痕入 kot 虼
溪開一痕去 khonh 裉
溪開三A侵上 khjimx 坅
溪開三B眞去 khinh 螼
溪開三B鹽入 khiep 𤷾
溪開三臻去 khinh 螼
溪開三陽上 khiangx 羥
溪合三A眞上 khjynx 𦃢
溪合三凡上 khyamx 凵
溪合三凡入 khyap 姂
羣開三A仙平 gjen 掮
影開一寒上 qanx 銨
影合三庚入 qyek 擭
曉開三A眞上 hjinx 脪

端一東平 tung 東
定一東平 dung 同
知三東平 triung 中
澄三東平 driung 蟲
章三東平 cjung 終
徹三東平 thriung 忡
崇三東平 zriung 崇
心三東平 siung 嵩
日三東平 njung 戎
見三東平 kiung 弓
以三東平 jung 融
云三東平 iung 雄
明三東平 miung 瞢
溪三東平 khiung 穹
羣三東平 giung 窮
並三東平 biung 馮
幫三東平 piung 風
滂三東平 phiung 豐
昌三東平 chjung 充
來三東平 liung 隆
溪一東平 khung 空
見一東平 kung 公
明一東平 mung 蒙
來一東平 lung 籠
匣一東平 ghung 洪
從一東平 zung 叢
影一東平 qung 翁
清一東平 chung 悤
透一東平 thung 通
精一東平 cung 葼
並一東平 bung 蓬
曉一東平 hung 烘
疑一東平 ngung 㟅
心一東平 sung 𣞷
端一冬平 tuung 冬
定一冬平 duung 彤
從一冬平 zuung 賨
泥一冬平 nuung 農
見一冬平 kuung 攻
匣一冬平 ghuung 䃔
來一冬平 luung 䃧
精一冬平 cuung 宗
心一冬平 suung 鬆
透一冬平 thuung 炵
章三鍾平 cjyung 鍾
來三鍾平 lyung 龍
書三鍾平 sjyung 舂
邪三鍾平 zsyung 松
昌三鍾平 chjyung 𧘂
以三鍾平 jyung 容
幫三鍾平 pyung 封
曉三鍾平 hyung 胷
疑三鍾平 ngyung 顒
影三鍾平 qyung 邕
孃三鍾平 nryung 醲
澄三鍾平 dryung 重
從三鍾平 zyung 從
徹三鍾平 thryung 蹱
並三鍾平 byung 逢
滂三鍾平 phyung 峯
精三鍾平 cyung 縱
日三鍾平 njyung 茸
羣三鍾平 gyung 蛩
常三鍾平 zjyung 鱅
見三鍾平 kyung 恭
心三鍾平 syung 蜙
清三鍾平 chyung 樅
溪三鍾平 khyung 銎
見二江平 krung 江
明二江平 mrung 厖
孃二江平 nrung 𦗳
初二江平 chrung 囪
幫二江平 prung 邦
匣二江平 ghrung 栙
滂二江平 phrung 胮
來二江平 lrung 瀧
生二江平 srung 雙
並二江平 brung 龐
曉二江平 hrung 肛
影二江平 qrung 胦
溪二江平 khrung 腔
澄二江平 drung 幢
徹二江平 thrung 憃
知二江平 trung 樁
疑二江平 ngrung 㟅
崇二江平 zrung 淙
章開三支平 cje 支
以開三支平 je 移
云合三支平 ye 爲
見合三B支平 kye 嬀
曉合三B支平 hye 𪎮
影合三B支平 qye 逶
明三B支平 mie 糜
曉合三A支平 hjye 隓
澄合三支平 drye 鬌
常合三支平 zjye 𡍮
來合三支平 lye 羸
昌合三支平 chjye 吹
滂三B支平 phie 鈹
幫三B支平 pie 陂
邪合三支平 zsye 隨
溪合三B支平 khye 虧
溪合三A支平 khjye 闚
羣開三B支平 gie 奇
羣開三A支平 gje 祇
曉開三B支平 hie 犧
溪開三B支平 khie 㩻
疑開三B支平 ngie 宜
並三B支平 bie 皮
常開三支平 zje 提
日開三支平 nje 兒
來開三支平 lie 離
從開三支平 zie 疵
精開三支平 cie 貲
見開三B支平 kie 羈
幫三A支平 pje 卑
並三A支平 bje 陴
書開三支平 sje 䌳
心開三支平 sie 斯
初開三支平 chrie 差
徹開三支平 thrie 摛
明三A支平 mje 彌
清開三支平 chie 雌
知開三支平 trie 知
影開三B支平 qie 漪
澄開三支平 drie 馳
心合三支平 sye 眭
疑合三B支平 ngye 危
曉開三A支平 hje 詑
生開三支平 srie 釃
生合三支平 srye 䪎
日合三支平 njye 痿
見合三A支平 kjye 𩓸
精合三支平 cye 劑
初合三支平 chrye 衰
知合三支平 trye 腄
昌開三支平 chje 眵
莊開三支平 crie 齜
滂三A支平 phje 𤿎
以合三支平 jye 䔺
崇開三支平 zrie 齹
章開三脂平 cjii 脂
以開三脂平 jii 姨
生開三脂平 srii 師
並三A脂平 bjii 𣬈
精開三脂平 cii 咨
見開三B脂平 kii 飢
昌開三脂平 chjii 鴟
徹開三脂平 thrii 絺
清開三脂平 chii 郪
從開三脂平 zii 茨
孃開三脂平 nrii 尼
澄開三脂平 drii 墀
心開三脂平 sii 私
書開三脂平 sjii 尸
羣開三A脂平 gjii 鬐
影開三A脂平 qjii 伊
來開三脂平 lii 棃
羣合三A脂平 gjyi 葵
知合三脂平 tryi 追
見合三B脂平 kyi 龜
日合三脂平 njyi 蕤
生合三脂平 sryi 衰
以合三脂平 jyi 惟
來合三脂平 lyi 㶟
心合三脂平 syi 綏
羣合三B脂平 gyi 逵
明三B脂平 mii 眉
幫三B脂平 pii 悲
章合三脂平 cjyi 錐
常合三脂平 zjyi 誰
云合三脂平 yi 帷
並三B脂平 bii 邳
滂三B脂平 phii 丕
曉合三A脂平 hjyi 倠
澄合三脂平 dryi 鎚
昌合三脂平 chjyi 推
知開三脂平 trii 胝
滂三A脂平 phjii 紕
精合三脂平 cyi 嶉
溪合三B脂平 khyi 巋
疑開三B脂平 ngii 狋
曉開三A脂平 hjii 咦
章開三之平 cji 之
以開三之平 ji 飴
常開三之平 zji 時
疑開三之平 ngi 疑
心開三之平 si 思
初開三之平 chri 輜
羣開三之平 gi 其
書開三之平 sji 詩
日開三之平 nji 而
溪開三之平 khi 欺
見開三之平 ki 姬
邪開三之平 zsi 詞
來開三之平 li 釐
莊開三之平 cri 菑
曉開三之平 hi 僖
影開三之平 qi 醫
徹開三之平 thri 癡
澄開三之平 dri 治
昌開三之平 chji 蚩
從開三之平 zi 慈
精開三之平 ci 兹
崇開三之平 zri 茬
俟開三之平 zsri 漦
明三微平 myoi 微
曉合三微平 hyoi 揮
云合三微平 yoi 幃
滂三微平 phyoi 霏
幫三微平 pyoi 猆
並三微平 byoi 肥
影合三微平 qyoi 威
羣開三微平 gioi 祈
見開三微平 kioi 機
曉開三微平 hioi 希
影開三微平 qioi 依
疑開三微平 ngioi 沂
疑合三微平 ngyoi 巍
見合三微平 kyoi 歸
溪合三微平 khyoi 蘬
疑開三魚平 ngio 魚
初開三魚平 chrio 初
書開三魚平 sjo 書
見開三魚平 kio 居
羣開三魚平 gio 渠
以開三魚平 jo 余
心開三魚平 sio 胥
清開三魚平 chio 疽
崇開三魚平 zrio 鉏
徹開三魚平 thrio 攄
生開三魚平 srio 疏
曉開三魚平 hio 虛
邪開三魚平 zsio 徐
影開三魚平 qio 於
知開三魚平 trio 豬
來開三魚平 lio 臚
章開三魚平 cjo 諸
澄開三魚平 drio 除
日開三魚平 njo 如
精開三魚平 cio 且
溪開三魚平 khio 虛
莊開三魚平 crio 菹
常開三魚平 zjo 蜍
孃開三魚平 nrio 袽
疑三虞平 ngyo 虞
初三虞平 chryo 芻
明三虞平 myo 無
云三虞平 yo 于
曉三虞平 hyo 訏
羣三虞平 gyo 衢
日三虞平 njyo 儒
心三虞平 syo 須
知三虞平 tryo 株
徹三虞平 thryo 貙
常三虞平 zjyo 殊
以三虞平 jyo 逾
溪三虞平 khyo 區
章三虞平 cjyo 朱
清三虞平 chyo 趨
來三虞平 lyo 慺
並三虞平 byo 扶
崇三虞平 zryo 䅳
