端一東平 doong 東
定一東平 dhoong 同
知三東平 dyoong 中
澄三東平 dhyoong 蟲
章三東平 joong 終
徹三東平 tyoong 忡
崇三東平 jroong 崇
心三東平 sioong 嵩
日三東平 roong 戎
見三東平 cioong 弓
以三東平 yoong 融
云三東平 hioong 雄
明三東平 mioong 瞢
溪三東平 kioong 穹
羣三東平 gioong 窮
並三東平 bhioong 馮
幫三東平 bioong 風
滂三東平 pioong 豐
昌三東平 choong 充
來三東平 lioong 隆
溪一東平 koong 空
見一東平 coong 公
明一東平 moong 蒙
來一東平 loong 籠
匣一東平 hoong 洪
從一東平 dzoong 叢
影一東平 oong 翁
清一東平 tsoong 悤
透一東平 toong 通
精一東平 zoong 葼
並一東平 bhoong 蓬
曉一東平 xoong 烘
疑一東平 qoong 㟅
心一東平 soong 𣞷
端一冬平 dung 冬
定一冬平 dhung 彤
從一冬平 dzung 賨
泥一冬平 nung 農
見一冬平 cung 攻
匣一冬平 hung 䃔
來一冬平 lung 䃧
精一冬平 zung 宗
心一冬平 sung 鬆
透一冬平 tung 炵
章三鍾平 jung 鍾
來三鍾平 liung 龍
書三鍾平 shung 舂
邪三鍾平 sziung 松
昌三鍾平 chung 𧘂
以三鍾平 yung 容
幫三鍾平 biung 封
曉三鍾平 xiung 胷
疑三鍾平 qiung 顒
影三鍾平 iung 邕
孃三鍾平 nyung 醲
澄三鍾平 dhyung 重
從三鍾平 dziung 從
徹三鍾平 tyung 蹱
並三鍾平 bhiung 逢
滂三鍾平 piung 峯
精三鍾平 ziung 縱
日三鍾平 rung 茸
羣三鍾平 giung 蛩
常三鍾平 zhung 鱅
見三鍾平 ciung 恭
心三鍾平 siung 蜙
清三鍾平 tsiung 樅
溪三鍾平 kiung 銎
見二江平 ceong 江
明二江平 meong 厖
孃二江平 nyeong 𦗳
初二江平 treong 囪
幫二江平 beong 邦
匣二江平 heong 栙
滂二江平 peong 胮
來二江平 leong 瀧
生二江平 sreong 雙
並二江平 bheong 龐
曉二江平 xeong 肛
影二江平 eong 胦
溪二江平 keong 腔
澄二江平 dhyeong 幢
徹二江平 tyeong 憃
知二江平 dyeong 樁
疑二江平 qeong 㟅
崇二江平 jreong 淙
章開三支平 je 支
以開三支平 ye 移
云合三支平 hiue 爲
見合三B支平 cyue 嬀
曉合三B支平 xyue 𪎮
影合三B支平 iiue 逶
明三B支平 mye 糜
曉合三A支平 xiue 隓
澄合三支平 dhyue 鬌
常合三支平 zhue 𡍮
來合三支平 liue 羸
昌合三支平 chue 吹
滂三B支平 pye 鈹
幫三B支平 bye 陂
邪合三支平 sziue 隨
溪合三B支平 kyue 虧
溪合三A支平 kiue 闚
羣開三B支平 gye 奇
羣開三A支平 gie 祇
曉開三B支平 xye 犧
溪開三B支平 kye 㩻
疑開三B支平 qye 宜
並三B支平 bhye 皮
常開三支平 zhe 提
日開三支平 re 兒
來開三支平 lie 離
從開三支平 dzie 疵
精開三支平 zie 貲
見開三B支平 cye 羈
幫三A支平 bie 卑
並三A支平 bhie 陴
書開三支平 she 䌳
心開三支平 sie 斯
初開三支平 tre 差
徹開三支平 tye 摛
明三A支平 mie 彌
清開三支平 tsie 雌
知開三支平 dye 知
影開三B支平 iie 漪
澄開三支平 dhye 馳
心合三支平 siue 眭
疑合三B支平 qyue 危
曉開三A支平 xie 詑
生開三支平 sre 釃
生合三支平 srue 䪎
日合三支平 rue 痿
見合三A支平 ciue 𩓸
精合三支平 ziue 劑
初合三支平 true 衰
知合三支平 dyue 腄
昌開三支平 che 眵
莊開三支平 dre 齜
滂三A支平 pie 𤿎
以合三支平 yue 䔺
崇開三支平 jre 齹
章開三脂平 ji 脂
以開三脂平 yi 姨
生開三脂平 sri 師
並三A脂平 bhi 𣬈
精開三脂平 zi 咨
見開三B脂平 cyi 飢
昌開三脂平 chi 鴟
徹開三脂平 tyi 絺
清開三脂平 tsi 郪
從開三脂平 dzi 茨
孃開三脂平 nyi 尼
澄開三脂平 dhyi 墀
心開三脂平 si 私
書開三脂平 shi 尸
羣開三A脂平 gi 鬐
影開三A脂平 i 伊
來開三脂平 li 棃
羣合三A脂平 giui 葵
知合三脂平 dyui 追
見合三B脂平 cyui 龜
日合三脂平 rui 蕤
生合三脂平 srui 衰
以合三脂平 yui 惟
來合三脂平 liui 㶟
心合三脂平 siui 綏
羣合三B脂平 gyui 逵
明三B脂平 myi 眉
幫三B脂平 byi 悲
章合三脂平 jui 錐
常合三脂平 zhui 誰
云合三脂平 hiui 帷
並三B脂平 bhyi 邳
滂三B脂平 pyi 丕
曉合三A脂平 xiui 倠
澄合三脂平 dhyui 鎚
昌合三脂平 chui 推
知開三脂平 dyi 胝
滂三A脂平 pi 紕
精合三脂平 ziui 嶉
溪合三B脂平 kyui 巋
疑開三B脂平 qyi 狋
曉開三A脂平 xi 咦
章開三之平 jy 之
以開三之平 y 飴
常開三之平 zhy 時
疑開三之平 qy 疑
心開三之平 sy 思
初開三之平 try 輜
羣開三之平 gy 其
書開三之平 shy 詩
日開三之平 ry 而
溪開三之平 ky 欺
見開三之平 cy 姬
邪開三之平 szy 詞
來開三之平 ly 釐
莊開三之平 dry 菑
曉開三之平 xy 僖
影開三之平 iy 醫
徹開三之平 ty 癡
